SF_Ratio_Pred,Blowdown_Loss_Min,Blowdown_Loss_Max,Enthalpy_Loss_Min,Enthalpy_Loss_Max,FD_Fan_Out_Min,FD_Fan_Out_Max,FeedWater_Temp_Min,FeedWater_Temp_Max,Fuel_Flow_Min,Fuel_Flow_Max,Fuel_Flow_Total_Min,Fuel_Flow_Total_Max,Stack_Loss_Min,Stack_Loss_Max,Stack_Temp_Min,Stack_Temp_Max,Steam_Flow_Min,Steam_Flow_Max
16.8,0.1,0.2,1.1,1.6,54,84,73,95,0,366,1304.062,3134.088,9.4,48.9,146,216,1297,7000
14.3,0.1,0.2,1.4,1.5,56,80,68,101,393,915,1296.344,2111.373,7.8,12.8,208,224,3894,7000
19.5,0.1,0.3,1.3,1.6,54,81,73,101,0,1142,1454.937,3026.046,8.7,19.9,181,235,2338,5899
1.8,0,0,0.5,1.8,54,86,23,97,0,2593,1651.291,3134.587,-0.1,107.3,53,263,0,5724
18.8,0.1,0.2,1.4,1.7,54,85,81,98,0,2454,1454.937,3026.046,8.8,17.2,196,242,1220,7000
0.2,0,0,0.9,1.4,55,81,23,108,0,973,1723.341,2784.055,4.9,21.9,122,194,0,0
13.2,0.1,0.2,1.2,1.6,54,86,69,100,0,2078,1300.854,2588.855,8.4,17.7,172,239,3895,7000
0.8,0,0,0.6,1.5,54,86,27,111,0,2315,1892.457,2522.866,5.5,14.5,74,224,0,3994
17.5,0.1,0.3,1.4,1.5,54,86,64,95,0,1705,1454.937,2718.135,11.9,17,192,218,2815,7000
13.9,0.1,0.2,1.3,1.6,57,86,68,112,0,1461,1302.303,2216.327,8,10.7,195,236,3287,7000
18.3,0.1,0.2,1.3,1.4,54,56,87,94,0,361,1454.937,2525.018,11.2,19.9,187,211,1254,7000
1.4,0,0,0.6,1.6,54,86,31,106,0,2548,1723.729,2993.731,7,48.5,52,230,0,6317
18.6,0.1,0.2,1.3,1.5,54,63,88,90,0,456,1942.273,2525.018,9.6,19.4,190,211,4129,5393
19.6,0,0.3,1,1.6,54,84,71,99,0,1352,1454.937,3026.046,7.7,55.4,125,230,0,7000
18.1,0.1,0.3,1.1,1.5,54,81,72,92,0,1002,1455.025,3026.046,8.7,17,167,229,0,7000
19.4,0.1,0.3,1.1,1.6,54,79,74,101,0,385,1454.937,3026.046,7.1,48.9,129,230,0,4663
15.1,0.1,0.2,1.4,1.5,55,63,68,94,0,594,1310.728,2091.71,9.5,12.5,204,215,4772,7000
18.9,0.1,0.2,1.3,1.7,54,63,88,98,0,457,1929.211,3026.046,9.6,20.6,193,244,2037,7000
1.1,0,0,1.6,1.6,86,86,81,92,1630,2492,1892.18,2190.048,10.2,10.9,230,243,4782,7000
18.5,0,0.2,1,1.4,54,63,89,97,0,0,1944.213,2783.709,9,26.4,128,211,1076,3432
15.8,0.1,0.2,1.2,1.5,54,76,67,93,0,931,1304.024,3026.046,9,19.2,169,218,1984,7000
16.7,0.2,0.2,1.5,1.6,63,76,68,76,0,931,2095.13,2095.502,9.3,11.3,207,214,6292,7000
17.7,0.2,0.3,1.5,1.5,63,84,69,89,0,932,2095.198,2214.047,9,15.4,203,235,6536,7000
16.2,0.1,0.2,1.1,1.5,54,86,86,98,0,1700,1454.863,2783.709,-0.1,14.9,157,221,1347,7000
0.4,0,0,0.7,1.3,54,63,27,53,0,679,1929.303,2737.961,10.4,11.9,77,177,0,0
1.2,0,0,1.1,1.2,56,86,31,100,0,1706,1723.521,2522.866,6.3,10.1,152,180,0,4617
